id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
17878;Very Nice 2Br in Copacabana w. balcony, fast WiFi;68997;Matthias;;Copacabana;-2296592;-4317896;Entire home/apt;164;5;257;19/11/2020;203;1;0
25026;Beautiful Modern Decorated Studio in Copa;3746246;Lydie & Ghizlane;;Copacabana;-2297712;-4319045;Entire home/apt;160;7;238;15/02/2020;187;11;308
35636;Cosy flat close to Ipanema beach;153232;Patricia;;Ipanema;-2298816;-4319359;Entire home/apt;267;2;181;15/03/2020;209;1;242
35764;COPACABANA SEA BREEZE  -  RIO - 20 X Superhost;153691;Patricia Miranda & Paulo;;Copacabana;-2298127;-4319046;Entire home/apt;135;3;340;31/10/2020;275;1;61
41198;Modern 2bed,Top end of Copacabana;178975;Nicky;;Copacabana;-2297962;-431923;Entire home/apt;479;3;18;09/02/2016;19;2;365
48305;Beach Block 6bed Penthouse, Ipanema Best Location!;70933;Alex;;Ipanema;-2298599;-4320299;Entire home/apt;1785;2;80;26/11/2020;72;5;338
48726;Rio de Janeiro Copacabana Ipanema;221941;Vana;;Ipanema;-2298414;-431945;Private room;107;3;42;08/08/2019;112;1;38
48901;Confortable 4BD 3.5BT Atlantic avenue;222884;Marcio;;Copacabana;-2296574;-4317514;Entire home/apt;555;4;4;08/03/2020;6;3;108
49179;Djalma Ocean View Studio with Amazing Views #100A;224192;David;;Copacabana;-229791;-4319008;Entire home/apt;150;3;88;09/11/2020;90;39;136
50294;Beach Block Suites in Ipanema Best Location;70933;Alex;;Ipanema;-2298584;-4320305;Entire home/apt;614;3;73;20/09/2020;64;5;322
50759;4 Suites lake front Barra da Tijuca;233554;Felipe;;Barra da Tijuca;-2300307;-4330911;Entire home/apt;3302;1;7;08/01/2017;11;4;364
51703;Ocean view, block of the beach, Copacabana,Ipanema;238091;Dália;;Copacabana;-2298208;-4319226;Entire home/apt;139;3;160;03/11/2020;199;2;0
64795;Ipanema amazing 2 BDRs apartment.;93005;Andrea;;Ipanema;-2298178;-4320076;Entire home/apt;400;2;12;09/01/2017;10;1;358
65546;Beach Block 3bed Penthouse, Ipanema Best Location!;70933;Alex;;Ipanema;-2298599;-4320299;Entire home/apt;1233;2;62;23/10/2020;52;5;327
66574;Beach apart in Rio (January/February 2020);326301;Frederic;;Flamengo;-2292873;-4317473;Entire home/apt;180;4;1;24/08/2016;2;1;359
66797;Studio Apart  for rent in ipanema.;328096;Carlos;;Ipanema;-2298463;-4319563;Entire home/apt;145;3;200;15/11/2020;169;3;221
68422;Copacabana Beach Living+AirConWiFi;339264;David;;Copacabana;-2298498;-4319135;Private room;422;4;79;22/11/2017;66;1;90
70080;Apart-hotel in Ipanema with service and garage;319672;Valeria;;Ipanema;-229854;-4319602;Entire home/apt;261;2;369;03/09/2020;341;6;0
73581;Studio Between Ipanema/Copacabana;384673;Pedro;;Copacabana;-2298027;-4319255;Entire home/apt;178;3;143;26/02/2020;121;1;120
75585;Copacabana 2 BR Penthouse Duplex;401375;Stefan;;Copacabana;-2298238;-4319366;Entire home/apt;390;5;101;24/02/2020;85;1;229
76245;Spacious Home Heart of Rio290m4QT. Discount10%week;406651;Diogo;;Copacabana;-2298192;-4319397;Entire home/apt;660;2;125;23/02/2020;110;1;0
76300;"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #1";406989;Casa 48 Guesthouse;;Santa Teresa;-2292875;-4319341;Private room;222;1;213;07/03/2020;200;6;219
76961;Tiny House in Lapa;411441;Marcelle;;Santa Teresa;-2291431;-4319081;Entire home/apt;100;2;94;26/03/2020;80;1;216
77318;❤Unique RIO | retreat w/ forest view in hot spot;110002;Silvia;;Gávea;-2297629;-4323145;Entire home/apt;186;5;35;08/03/2020;37;1;57
80145;Stay in a small imperial castle !;432777;Andreas;;Santa Teresa;-2292519;-4319118;Private room;107;2;14;06/10/2019;14;2;1
85807;Ipanema Copa Flat;470565;Sebastian;;Copacabana;-2298525;-4319247;Entire home/apt;149;2;4;12/10/2020;36;6;262
86670;AMAZING VIEW ON THE LEBLON/IPANEMA BOARDER.;474221;June;;Leblon;-2298361;-4321827;Entire home/apt;210;2;80;13/09/2020;84;7;0
86978;Room For a Rent : Rio de Janeiro;476838;Antonio;;Jacarepaguá;-2297237;-4338141;Private room;799;1;0;;;1;365
87202;Condomínio Villagio do Campo IV;477755;Fabio;;Campo Grande;-2288756;-4359413;Entire home/apt;146;2;21;24/10/2020;41;1;359
87762;Flat Top em Ipanema à 150 metros da praia;480527;Caio;;Ipanema;-2298386;-4321383;Entire home/apt;100;2;15;14/02/2020;39;1;150
88528;COZY APARTAMENT ON THE COPACABANA BEACH BLOCK.;474221;June;;Copacabana;-2297794;-4318969;Entire home/apt;174;2;64;27/02/2020;58;7;229
88781;» 30% Off « Beach 50m & Metro > 5 min!!;474221;June;;Copacabana;-2297456;-4318807;Entire home/apt;126;2;47;04/03/2020;49;7;242
